iter	RMSE
0	0.4539298984
1	0.4517431428
2	0.4490251675
3	0.4467956883
4	0.4445887466
5	0.4422265283
6	0.4402860819
7	0.4379683025
8	0.4356872656
9	0.4341223755
10	0.4321193869
11	0.4301946742
12	0.4280698157
13	0.4262885803
14	0.4239010844
15	0.4220822108
16	0.4203266675
17	0.4188073523
18	0.4172365675
19	0.4156224101
20	0.4146966359
21	0.4130903883
22	0.4113632446
23	0.409803199
24	0.4085891648
25	0.4069329039
26	0.4054403193
27	0.4042862632
28	0.4032192316
29	0.4020850243
30	0.4010055956
31	0.4000362794
32	0.3988545431
33	0.3977802499
34	0.3962707899
35	0.395152069
36	0.3938620208
37	0.3928589964
38	0.3917405837
39	0.3907860686
40	0.3898962106
41	0.3885647135
42	0.387138004
43	0.3858913058
44	0.3848535852
45	0.3834288818
46	0.3822458777
47	0.3812507663
48	0.3806516302
49	0.3794875304
50	0.3783407407
51	0.3771264697
52	0.3766675265
53	0.3757889232
54	0.3745617709
55	0.373714636
56	0.3728778348
57	0.3721519702
58	0.3711508998
59	0.3704647492
60	0.3692400017
61	0.3683464578
62	0.3677118611
63	0.3670264218
64	0.3664001801
65	0.3655540484
66	0.3648382475
67	0.3641609598
68	0.3636931727
69	0.3625596665
70	0.3613985708
71	0.360907268
72	0.359804678
73	0.3588832164
74	0.3583442904
75	0.3574555909
76	0.3566989243
77	0.3560309306
78	0.3554062333
79	0.3549346834
80	0.3542362037
81	0.3533119552
82	0.3528391333
83	0.3521860792
84	0.3512652872
85	0.3507099898
86	0.3501141277
87	0.3496204759
88	0.3489102541
89	0.3480784932
90	0.3471960963
91	0.3464927139
92	0.3459958626
93	0.3448888951
94	0.3440482211
95	0.3435784503
96	0.3429666492
97	0.3423564137
98	0.3416119215
99	0.3408492642
100	0.3405311338
101	0.3396486113
102	0.3389262767
103	0.3381885878
104	0.337568769
105	0.3370181835
106	0.3362824411
107	0.335712083
108	0.3350779203
109	0.3344629085
110	0.3341526457
111	0.3336311198
112	0.3330327724
113	0.3325573899
114	0.331840948
115	0.3311388182
116	0.3308059741
117	0.3302113736
118	0.3295146423
119	0.3289879771
120	0.3285473769
121	0.3279534359
122	0.3272748417
123	0.3268562603
124	0.3261035327
125	0.3251796693
126	0.3244936486
127	0.3240730177
128	0.3235829031
129	0.3228414095
130	0.3221138339
131	0.3212330892
132	0.3206930251
133	0.3202822947
134	0.3197252024
135	0.3192251785
136	0.3186148944
137	0.3182685341
138	0.3178833751
139	0.3175508586
140	0.3169544341
