iter	Passed	Remaining
0	51	51039
1	54	27239
2	57	19169
3	59	14703
4	60	12015
5	61	10224
6	63	8939
7	64	7972
8	65	7225
9	66	6621
10	68	6128
11	69	5722
12	70	5370
13	72	5076
14	73	4823
15	74	4598
16	76	4398
17	77	4219
18	78	4058
19	79	3916
20	81	3785
21	82	3665
22	83	3558
23	85	3459
24	86	3367
25	87	3295
26	89	3217
27	90	3143
28	91	3075
29	93	3011
30	94	2952
31	95	2897
32	97	2842
33	98	2792
34	99	2745
35	100	2701
36	102	2658
37	103	2618
38	104	2581
39	106	2545
40	107	2510
41	108	2478
42	109	2446
43	111	2416
44	112	2388
45	113	2360
46	115	2334
47	116	2308
48	117	2283
49	118	2260
50	120	2238
51	121	2215
52	122	2196
53	124	2176
54	125	2155
55	126	2137
56	128	2121
57	129	2104
58	130	2086
59	132	2071
60	133	2055
61	134	2039
62	136	2024
63	137	2010
64	138	1997
65	140	1981
66	141	1968
67	142	1955
68	143	1942
69	145	1930
70	146	1919
71	148	1907
72	149	1895
73	150	1884
74	151	1873
75	153	1863
76	154	1853
77	155	1843
78	157	1833
79	158	1823
80	159	1814
81	161	1805
82	162	1796
83	164	1788
84	165	1779
85	166	1771
86	167	1762
87	169	1754
88	170	1746
89	171	1738
90	173	1730
91	174	1722
92	175	1714
93	177	1707
94	178	1700
95	179	1693
96	181	1686
97	183	1687
98	184	1682
99	186	1676
100	187	1670
101	189	1666
102	190	1660
103	192	1655
104	193	1649
105	194	1643
106	196	1638
107	197	1633
108	199	1627
109	200	1622
110	201	1616
111	203	1611
112	204	1606
113	206	1602
114	207	1597
115	209	1592
116	210	1588
117	211	1583
118	213	1579
119	214	1575
120	216	1571
121	217	1567
122	219	1564
123	220	1560
124	222	1556
125	224	1554
126	225	1550
127	227	1547
128	228	1544
129	230	1539
130	231	1534
131	232	1529
132	234	1526
133	235	1521
134	237	1521
135	239	1519
136	240	1515
137	241	1510
138	243	1506
139	244	1501
140	245	1497
141	247	1493
142	248	1488
143	249	1484
144	250	1479
145	251	1470
146	252	1467
147	254	1462
148	255	1458
149	256	1454
150	258	1450
151	259	1446
152	260	1442
153	261	1438
154	263	1435
155	264	1433
156	266	1430
157	267	1426
158	268	1422
159	270	1419
160	271	1415
161	273	1412
162	274	1409
163	275	1405
164	277	1402
165	278	1398
166	279	1395
167	281	1392
168	282	1388
169	283	1385
170	285	1382
171	286	1379
172	287	1375
173	289	1372
174	290	1369
175	291	1366
176	293	1363
177	294	1359
178	295	1356
179	297	1353
180	298	1350
181	299	1347
182	301	1344
183	302	1341
184	303	1337
185	305	1334
186	306	1331
187	307	1328
188	309	1326
189	310	1323
190	311	1320
191	313	1317
192	314	1314
193	315	1312
194	317	1309
195	318	1306
196	319	1303
197	321	1300
198	322	1298
199	324	1299
200	326	1298
201	328	1297
202	330	1295
203	331	1294
204	333	1292
205	339	1306
206	340	1304
207	341	1302
208	343	1299
209	344	1297
210	346	1294
211	347	1292
212	349	1290
213	350	1287
214	351	1285
215	353	1282
216	354	1279
217	356	1277
218	357	1274
219	358	1271
220	359	1268
221	361	1266
222	362	1263
223	364	1263
224	366	1261
225	370	1269
226	372	1268
227	373	1265
228	375	1263
229	376	1261
230	378	1258
231	379	1256
232	380	1253
233	382	1251
234	383	1249
235	385	1247
236	386	1245
237	388	1243
238	389	1240
239	391	1238
240	392	1236
241	393	1233
242	395	1231
243	396	1229
244	398	1226
245	399	1224
246	400	1222
247	402	1219
248	403	1217
249	405	1215
250	406	1213
251	409	1214
252	411	1215
253	413	1215
254	417	1218
255	418	1216
256	420	1215
257	421	1212
258	422	1209
259	424	1207
260	425	1204
261	426	1202
262	428	1199
263	429	1197
264	430	1194
265	432	1192
266	433	1189
267	434	1187
268	435	1184
269	437	1182
270	438	1180
271	440	1177
272	441	1175
273	442	1172
274	444	1171
275	445	1168
276	446	1166
277	448	1163
278	449	1161
279	450	1159
280	452	1156
281	453	1154
282	454	1151
283	455	1149
284	457	1147
285	458	1144
286	459	1142
287	461	1141
288	463	1139
289	464	1136
290	465	1134
291	466	1132
292	468	1129
293	469	1127
294	470	1125
295	472	1122
296	473	1120
297	475	1119
298	476	1117
299	477	1115
300	479	1112
301	480	1110
302	481	1108
303	483	1106
304	484	1103
305	485	1101
306	486	1099
307	488	1096
308	489	1094
309	490	1092
310	492	1090
311	493	1088
312	494	1085
313	495	1083
314	497	1081
315	498	1079
316	499	1076
317	501	1074
318	502	1072
319	503	1070
320	505	1068
321	506	1066
322	507	1063
323	508	1061
324	510	1059
325	511	1057
326	512	1055
327	513	1053
328	515	1050
329	516	1048
330	517	1046
331	519	1044
332	520	1042
333	521	1040
334	522	1038
335	524	1035
336	525	1033
337	526	1031
338	528	1029
339	529	1027
340	530	1025
341	531	1023
342	533	1021
343	534	1019
344	535	1017
345	537	1015
346	538	1012
347	539	1010
348	540	1008
349	542	1006
350	543	1004
351	544	1002
352	549	1006
353	550	1005
354	552	1003
355	553	1001
356	555	999
357	556	997
358	557	995
359	559	993
360	560	992
361	561	990
362	563	988
363	564	986
364	566	984
365	567	982
366	569	981
367	570	979
368	571	977
369	573	975
370	574	973
371	575	972
372	577	970
373	578	968
374	580	966
375	581	964
376	582	963
377	584	961
378	585	959
379	587	957
380	588	955
381	589	954
382	591	952
383	592	950
384	594	949
385	595	947
386	597	945
387	598	944
388	599	942
389	601	940
390	602	938
391	604	937
392	606	936
393	607	934
394	609	933
395	611	932
396	613	931
397	614	929
398	615	927
399	617	925
400	618	924
401	619	922
402	621	920
403	622	918
404	624	916
405	625	915
406	627	913
407	628	912
408	630	910
409	631	908
410	632	907
411	634	905
412	635	903
413	636	901
414	638	899
415	639	898
416	641	896
417	642	894
418	643	892
419	645	890
420	646	888
421	647	887
422	649	885
423	650	883
424	651	881
425	652	879
426	654	878
427	655	876
428	657	874
429	658	872
430	659	870
431	661	869
432	662	867
433	663	865
434	665	863
435	666	861
436	667	860
437	668	858
438	670	856
439	671	854
440	672	852
441	674	850
442	675	849
443	676	847
444	677	845
445	679	843
446	680	841
447	681	839
448	682	837
449	684	836
450	685	834
451	686	832
452	687	830
453	689	828
454	690	827
455	691	825
456	693	823
457	694	821
458	696	820
459	697	818
460	698	817
461	700	815
462	701	813
463	702	812
464	704	810
465	705	808
466	706	806
467	708	805
468	709	803
469	710	801
470	712	799
471	713	798
472	714	796
473	716	794
474	717	793
475	718	791
476	720	789
477	721	788
478	722	786
479	724	784
480	725	782
481	726	781
482	728	779
483	730	778
484	731	776
485	732	775
486	734	773
487	735	771
488	736	770
489	738	769
490	740	767
491	741	766
492	743	764
493	744	762
494	746	761
495	747	759
496	748	757
497	750	756
498	751	754
499	752	752
500	754	751
501	755	749
502	757	748
503	758	746
504	759	744
505	761	743
506	762	741
507	763	739
508	765	738
509	766	736
510	767	734
511	769	733
512	770	731
513	772	730
514	773	728
515	775	727
516	776	725
517	778	723
518	779	722
519	780	720
520	782	719
521	783	717
522	784	715
523	786	714
524	787	712
525	789	711
526	790	709
527	791	707
528	793	706
529	794	704
530	796	703
531	797	701
532	798	700
533	802	699
534	806	701
535	808	699
536	810	698
537	811	696
538	812	695
539	814	693
540	815	692
541	816	690
542	818	688
543	819	687
544	821	685
545	822	683
546	823	682
547	825	680
548	826	678
549	827	677
550	829	675
551	830	673
552	831	672
553	832	670
554	834	669
555	835	667
556	837	665
557	838	664
558	839	662
559	841	661
560	842	659
561	843	657
562	845	656
563	846	654
564	847	652
565	849	651
566	850	649
567	851	647
